ensembl_gene_id,gene_symbol,ensembl_transcript_id,ensembl_transcript_id_version,peptide_id,peptide_id_version,transcript_is_canonical,species
ENSMFAG00000034575,MYNN,ENSMFAT00000010718,ENSMFAT00000010718.2,ENSMFAP00000036472,ENSMFAP00000036472.2,,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000023756,ENSMFAT00000023756.2,ENSMFAP00000005085,ENSMFAP00000005085.2,1.0,macaque
ENSMFAG00000036601,RCC2,ENSMFAT00000073881,ENSMFAT00000073881.1,ENSMFAP00000053937,ENSMFAP00000053937.1,,macaque
ENSMFAG00000034575,MYNN,ENSMFAT00000010730,ENSMFAT00000010730.2,ENSMFAP00000036484,ENSMFAP00000036484.2,,macaque
ENSMFAG00000022133,PPP2R3A,ENSMFAT00000056397,ENSMFAT00000056397.2,ENSMFAP00000012217,ENSMFAP00000012217.1,,macaque
ENSMFAG00000002199,NEXN,ENSMFAT00000023763,ENSMFAT00000023763.2,ENSMFAP00000005093,ENSMFAP00000005093.2,,macaque
ENSCAFG00845000002,PHLPP1,ENSCAFT00845000002,ENSCAFT00845000002.1,ENSCAFP00845000002,ENSCAFP00845000002.1,1.0,dog
ENSCAFG00845000002,PHLPP1,ENSCAFT00845000003,ENSCAFT00845000003.1,ENSCAFP00845000003,ENSCAFP00845000003.1,,dog
ENSCAFG00845000007,RMND1,ENSCAFT00845000009,ENSCAFT00845000009.1,ENSCAFP00845000004,ENSCAFP00845000004.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000010,ENSCAFT00845000010.1,ENSCAFP00845000005,ENSCAFP00845000005.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000011,ENSCAFT00845000011.1,ENSCAFP00845000006,ENSCAFP00845000006.1,,dog
ENSCAFG00845000009,CLVS2,ENSCAFT00845000012,ENSCAFT00845000012.1,ENSCAFP00845000007,ENSCAFP00845000007.1,1.0,dog
ENSCAFG00845000008,ENPP1,ENSCAFT00845000016,ENSCAFT00845000016.1,ENSCAFP00845000008,ENSCAFP00845000008.1,,dog
ENSCAFG00845000014,ARMT1,ENSCAFT00845000019,ENSCAFT00845000019.1,ENSCAFP00845000009,ENSCAFP00845000009.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000020,ENSCAFT00845000020.1,ENSCAFP00845000010,ENSCAFP00845000010.1,,dog
ENSCAFG00845000017,,ENSCAFT00845000021,ENSCAFT00845000021.1,ENSCAFP00845000011,ENSCAFP00845000011.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000022,ENSCAFT00845000022.1,ENSCAFP00845000012,ENSCAFP00845000012.1,1.0,dog
ENSCAFG00845000018,,ENSCAFT00845000023,ENSCAFT00845000023.1,ENSCAFP00845000013,ENSCAFP00845000013.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000024,ENSCAFT00845000024.1,ENSCAFP00845000014,ENSCAFP00845000014.1,,dog
ENSCAFG00845000019,PARD6G,ENSCAFT00845000025,ENSCAFT00845000025.1,ENSCAFP00845000015,ENSCAFP00845000015.1,1.0,dog
ENSCAFG00845000020,CCDC170,ENSCAFT00845000026,ENSCAFT00845000026.1,ENSCAFP00845000016,ENSCAFP00845000016.1,,dog
ENSCAFG00845000020,CCDC170,ENSCAFT00845000027,ENSCAFT00845000027.1,ENSCAFP00845000017,ENSCAFP00845000017.1,1.0,dog
ENSCAFG00845000021,ADNP2,ENSCAFT00845000028,ENSCAFT00845000028.1,ENSCAFP00845000018,ENSCAFP00845000018.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000029,ENSCAFT00845000029.1,ENSCAFP00845000019,ENSCAFP00845000019.1,,dog
ENSCAFG00845000020,CCDC170,ENSCAFT00845000031,ENSCAFT00845000031.1,ENSCAFP00845000020,ENSCAFP00845000020.1,,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000033,ENSCAFT00845000033.1,ENSCAFP00845000021,ENSCAFP00845000021.1,,dog
ENSCAFG00845000024,RBFA,ENSCAFT00845000034,ENSCAFT00845000034.1,ENSCAFP00845000022,ENSCAFP00845000022.1,1.0,dog
ENSCAFG00845000016,ZCCHC2,ENSCAFT00845000035,ENSCAFT00845000035.1,ENSCAFP00845000023,ENSCAFP00845000023.1,,dog
ENSCAFG00845000026,TXNL4A,ENSCAFT00845000038,ENSCAFT00845000038.1,ENSCAFP00845000024,ENSCAFP00845000024.1,,dog
ENSCAFG00845000028,ESR1,ENSCAFT00845000039,ENSCAFT00845000039.1,ENSCAFP00845000025,ENSCAFP00845000025.1,,dog
ENSCAFG00845000026,TXNL4A,ENSCAFT00845000040,ENSCAFT00845000040.1,ENSCAFP00845000026,ENSCAFP00845000026.1,1.0,dog
ENSCAFG00845000026,TXNL4A,ENSCAFT00845000041,ENSCAFT00845000041.1,ENSCAFP00845000027,ENSCAFP00845000027.1,,dog
ENSCAFG00845000028,ESR1,ENSCAFT00845000042,ENSCAFT00845000042.1,ENSCAFP00845000028,ENSCAFP00845000028.1,1.0,dog
ENSCAFG00845000028,ESR1,ENSCAFT00845000043,ENSCAFT00845000043.1,ENSCAFP00845000029,ENSCAFP00845000029.1,,dog
ENSCAFG00845000030,HSBP1L1,ENSCAFT00845000045,ENSCAFT00845000045.1,ENSCAFP00845000030,ENSCAFP00845000030.1,1.0,dog
ENSCAFG00845000033,SLC66A2,ENSCAFT00845000046,ENSCAFT00845000046.1,ENSCAFP00845000031,ENSCAFP00845000031.1,,dog
ENSCAFG00845000033,SLC66A2,ENSCAFT00845000047,ENSCAFT00845000047.1,ENSCAFP00845000032,ENSCAFP00845000032.1,,dog
ENSCAFG00845000032,TNFRSF11A,ENSCAFT00845000048,ENSCAFT00845000048.1,ENSCAFP00845000033,ENSCAFP00845000033.1,1.0,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000049,ENSCAFT00845000049.1,ENSCAFP00845000034,ENSCAFP00845000034.1,1.0,dog
ENSCAFG00845000032,TNFRSF11A,ENSCAFT00845000050,ENSCAFT00845000050.1,ENSCAFP00845000035,ENSCAFP00845000035.1,,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000051,ENSCAFT00845000051.1,ENSCAFP00845000036,ENSCAFP00845000036.1,,dog
ENSCAFG00845000032,TNFRSF11A,ENSCAFT00845000052,ENSCAFT00845000052.1,ENSCAFP00845000037,ENSCAFP00845000037.1,,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000053,ENSCAFT00845000053.1,ENSCAFP00845000038,ENSCAFP00845000038.1,,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000054,ENSCAFT00845000054.1,ENSCAFP00845000039,ENSCAFP00845000039.1,,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000055,ENSCAFT00845000055.1,ENSCAFP00845000040,ENSCAFP00845000040.1,,dog
ENSCAFG00845000029,TRDN,ENSCAFT00845000056,ENSCAFT00845000056.1,ENSCAFP00845000041,ENSCAFP00845000041.1,,dog
ENSCAFG00845000037,,ENSCAFT00845000059,ENSCAFT00845000059.1,ENSCAFP00845000042,ENSCAFP00845000042.1,1.0,dog
ENSCAFG00845000036,RELCH,ENSCAFT00845000060,ENSCAFT00845000060.1,ENSCAFP00845000043,ENSCAFP00845000043.1,1.0,dog
ENSCAFG00845000040,ANXA1,ENSCAFT00845000063,ENSCAFT00845000063.1,ENSCAFP00845000044,ENSCAFP00845000044.1,1.0,dog
ENSCAFG00845000033,SLC66A2,ENSCAFT00845000064,ENSCAFT00845000064.1,ENSCAFP00845000045,ENSCAFP00845000045.1,1.0,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000065,ENSCAFT00845000065.1,ENSCAFP00845000046,ENSCAFP00845000046.1,1.0,dog
ENSCAFG00845000036,RELCH,ENSCAFT00845000066,ENSCAFT00845000066.1,ENSCAFP00845000047,ENSCAFP00845000047.1,,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000067,ENSCAFT00845000067.1,ENSCAFP00845000048,ENSCAFP00845000048.1,,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000068,ENSCAFT00845000068.1,ENSCAFP00845000049,ENSCAFP00845000049.1,,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000069,ENSCAFT00845000069.1,ENSCAFP00845000050,ENSCAFP00845000050.1,,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000070,ENSCAFT00845000070.1,ENSCAFP00845000051,ENSCAFP00845000051.1,,dog
ENSCAFG00845000041,NKAIN2,ENSCAFT00845000071,ENSCAFT00845000071.1,ENSCAFP00845000052,ENSCAFP00845000052.1,,dog
ENSCAFG00845000036,RELCH,ENSCAFT00845000072,ENSCAFT00845000072.1,ENSCAFP00845000053,ENSCAFP00845000053.1,,dog
