ensembl_id,gene_symbol,peptide_id,peptide_id_version,species
ENSMFAG00000000066,GPBP1,ENSMFAP00000000784,ENSMFAP00000000784.2,macaque
ENSMFAG00000000066,GPBP1,ENSMFAP00000000786,ENSMFAP00000000786.2,macaque
ENSMFAG00000000067,TDP1,ENSMFAP00000000794,ENSMFAP00000000794.2,macaque
ENSMFAG00000000067,TDP1,ENSMFAP00000000787,ENSMFAP00000000787.2,macaque
ENSMFAG00000000067,TDP1,ENSMFAP00000000793,ENSMFAP00000000793.2,macaque
ENSMFAG00000000068,IL22RA1,ENSMFAP00000000695,ENSMFAP00000000695.2,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000000634,ENSMFAP00000000634.2,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000063753,ENSMFAP00000063753.1,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000000646,ENSMFAP00000000646.2,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000000640,ENSMFAP00000000640.2,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000000630,ENSMFAP00000000630.2,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000000644,ENSMFAP00000000644.1,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000054163,ENSMFAP00000054163.1,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000052660,ENSMFAP00000052660.1,macaque
ENSMFAG00000000070,POMGNT1,ENSMFAP00000049735,ENSMFAP00000049735.1,macaque
ENSMFAG00000000071,NA,ENSMFAP00000000625,ENSMFAP00000000625.1,macaque
ENSMFAG00000000072,EDA2R,ENSMFAP00000000610,ENSMFAP00000000610.1,macaque
ENSMFAG00000000072,EDA2R,ENSMFAP00000000612,ENSMFAP00000000612.2,macaque
ENSMFAG00000000073,GNS,ENSMFAP00000000642,ENSMFAP00000000642.2,macaque
ENSMFAG00000000074,FYN,ENSMFAP00000000554,ENSMFAP00000000554.1,macaque
ENSMFAG00000000074,FYN,ENSMFAP00000000572,ENSMFAP00000000572.1,macaque
ENSMFAG00000000074,FYN,ENSMFAP00000000584,ENSMFAP00000000584.2,macaque
ENSMFAG00000000075,RNF25,ENSMFAP00000000495,ENSMFAP00000000495.2,macaque
ENSMFAG00000000076,CD247,ENSMFAP00000000466,ENSMFAP00000000466.2,macaque
ENSMFAG00000000077,TBC1D15,ENSMFAP00000000484,ENSMFAP00000000484.1,macaque
ENSMFAG00000000077,TBC1D15,ENSMFAP00000000482,ENSMFAP00000000482.1,macaque
ENSMFAG00000000077,TBC1D15,ENSMFAP00000000487,ENSMFAP00000000487.2,macaque
ENSMFAG00000000077,TBC1D15,ENSMFAP00000000490,ENSMFAP00000000490.2,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000000413,ENSMFAP00000000413.1,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000000393,ENSMFAP00000000393.1,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000063891,ENSMFAP00000063891.1,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000000388,ENSMFAP00000000388.2,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000000401,ENSMFAP00000000401.2,macaque
ENSMFAG00000000078,USP15,ENSMFAP00000000415,ENSMFAP00000000415.2,macaque
